First,Last,Gender,1992,1993,1994,1996,1997,1998,1999,2000,2001,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024,Which Lottery?,Total DNFs,DNFs before 2021,Total Finishes,# F tickets,DNS since 1992,DNS since 1993,DNS since 1994,DNS since 1996,DNS since 1997,DNS since 1998,DNS since 1999,DNS since 2000,DNS since 2001,DNS since 2003,DNS since 2004,DNS since 2005,DNS since 2006,DNS since 2007,DNS since 2008,DNS since 2009,DNS since 2010,DNS since 2011,DNS since 2012,DNS since 2013,DNS since 2014,DNS since 2015,DNS since 2016,DNS since 2017,DNS since 2018,DNS since 2019,DNS since 2021,DNS since 2022,DNS since 2023,DNS since 2024,# DNS since last start,# DNS ever,Tickets for        # DNS (and Service if Never),# Trail work/Course Sweep/AS captain ticks,# Service tickets,Total tickets,1 = entered,First-time entrant,1 = Selected,Wait List Order,2024 Qualifier,Years Volunteering,Total Finished Tickets,Total Never tickets,Male Finished Tickets,Male Never Tickets,Female Finished Tickets,Female Never Tickets,DOB,email address,Street Address,City,State,Country,Phone #,Previous names applied under,Emergency Contact,Emergency Phone,# Years Vol Claimed,Vol Diff,# Years Claimed Applied in Past,Have you ever finished Hardrock?,Diff #DNS,Already in the spread sheet,Removed?,Description of service
Antony,Grady,M,,,,,,,,,,,,,,,,,,,,,,,,,,DNS,,,,,Never,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,,0,2,,,,,,,0,0,0,0,0,0,,dominica@rau.info,7332 Kassulke Skyway,Bednarshire,VA,USA,7797152514,,Dominque Corkery,2236531216,0,0,,,,1,,
Beryl,Kutch,F,,,,,,,,,,,,,,,,,,,,,,,DNS,DNS,DNS,DNS,,,,,Never,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,0,0,0,0,4,4,16,,0,16,,,,,,0,0,0,0,0,0,0,,candra@thiel.name,94813 Swaniawski Ranch,Littleberg,NOR,NOR,+4747239760,,Shellie Krajcik,+4747239722,0,0,,,,1,,
Dorothy,Fahey,F,,,,,,,,,,,,,,,,,,,,,,DNS,DNS,,,,,,,,Never,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,2,2,4,,0,4,,,,,,0,0,0,0,0,0,0,,alphonso@carterjaskolski.com,9497 Hirthe Lake,Pfannerstillberg,WA,USA,8952939469,,Sonja Christiansen,8615039757,0,0,0,0,,,,1,,
Bethany,Sanford,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNS,DNS,NQ,Never,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,4,,0,4,,,,,2022 OCT: Diagonale des Fous (Reunion Is),,0,0,0,0,0,0,05/01/1988,fran.bar@gmail.com,123 rue des Frères Lumières,Villefranche sur saône,FRA,FRA,0601271155,,Aberkane,0695511156,0,0,3,No,1,1,True,
Freddy,Maggio,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,,,,,,,0,0,0,0,0,0,06/21/1995,leighann.schoen@adams.us,9876 Damian Valley,Port Kandice,AB,CAN,9584628190,,,,,0,,,,1,,
Christian,Sipes,M,,,,,,,,,,,,,,,,,,,,,DNS,F,DNS,DNS,DNS,DNS,,,,,Else,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,0,0,0,0,4,5,4,,0,6,,,,,,0,0,0,0,0,0,0,,jarod@millermoore.com,2575 Mariela Brook,Kassulkemouth,LA,USA,952-602-9499,,Sarai Klein,280-567-7592,0,0,,,,1,,
Cornelius,White,M,,,,,,,,,,DNS,DNF,DNF,DNF,DNF,DNS,DNF,DNS,DNS,DNS,DNS,DNF,,,,,,,,,,Else,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,1,2,,,,,,5,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,-5,,,,1,,
Theresa,O'Connell,F,,,,,,,,,,,,,,,,,,,,,DNF,F,F,DNS,DNS,DNS,DNS,DNS,,,Else,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,2,1,0,0,5,5,5,,0,8,,,,,,1,0,0,0,0,0,0,09/10/1997,woodrow@runte.ca,028 Kunze Freeway,Tamartown,IA,USA,776-426-2796,,Winnifred Yost,982-416-8561,1,0,,,,1,,
Fredrick,Wiza,M,,,,,,,,,,,,,,,,,,,,,,DNS,DNS,DNS,DNS,,,,,,Never,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,0,0,0,0,0,4,4,16,,0,16,,,,,,0,0,0,0,0,0,0,,martin.bruen@christiansen.name,0141 Belva Mill,East Shenitaport,MT,USA,504-672-2864,,Penney Turner,737-930-2991,0,0,,,,1,,
Alfreda,Cruickshank,F,,,,,,,,,,,,,,,,,,,,,,DNS,DNS,DNS,,,,,,,Never,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,3,3,8,,0,8,,,,,,0,0,0,0,0,0,0,,sammie.schuppe@bradtke.us,49869 Stark Ranch,Pandoraborough,CO,USA,295-860-1819,,Lucila Gleichner,271-427-6816,0,0,,,,1,,
Gaston,Bashirian,M,,,,,,,,,,,,,,,,,,,DNS,DNS,DNS,DNS,F,DNS,DNS,,,,,,Else,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,6,2,,0,4,,,,,,0,0,0,0,0,0,0,,lashunda@koelpin.co.uk,4679 Lazaro Hill,West Ariel,AR,USA,691-976-7666,,Brynn Hermiston,950-975-4391,0,0,,,,1,,
